127.0.0.1 - - [16/Sep/2016:15:39:59 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/index.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/imagens/cadastrar_processo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/imagens/lancar_despesa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/imagens/listar_processo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/imagens/lancar_tarefa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:39:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:40:06 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/cadastrar-processo.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:40:15 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:35 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:39 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:41 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:42 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:42:47 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:46 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:50 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:43:51 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:52:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:52:26 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3485
